Waiting_Time_Type,Teta,Mu,Lambda,Analysis_type,PB,PD
Exponential,2,1,4.0,Simulation,0.016984,0.73557
Exponential,2,1,4.0,Statistical,0.01727396088785293,0.7354652814346765
Constant,2,1,4.1,Simulation,0.03565,0.721961
Constant,2,1,4.1,Statistical,0.0340510634811084,0.7227891982062435
Exponential,2,1,4.1,Simulation,0.020285,0.738891
Exponential,2,1,4.1,Statistical,0.020047836446768542,0.7383559182304086
Constant,2,1,4.2,Simulation,0.040663,0.721983
Constant,2,1,4.2,Statistical,0.03846347929567419,0.7240545940816917
Exponential,2,1,4.2,Simulation,0.02286,0.740863
Exponential,2,1,4.2,Statistical,0.023089372646156132,0.740757123397371
Constant,2,1,4.3,Simulation,0.045267,0.722793
Constant,2,1,4.3,Statistical,0.04316526944539555,0.7247834858136349
Exponential,2,1,4.3,Simulation,0.025998,0.742958
Exponential,2,1,4.3,Statistical,0.026400609990907247,0.7426763434292468
Constant,2,1,4.4,Simulation,0.049824,0.72376
Constant,2,1,4.4,Statistical,0.04814618924712035,0.7250004081574177
Exponential,2,1,4.4,Simulation,0.030285,0.74435
Exponential,2,1,4.4,Statistical,0.029981292466315087,0.7441231388817581
Constant,2,1,4.5,Simulation,0.055232,0.722673
Constant,2,1,4.5,Statistical,0.05339413412126886,0.7247308632034924
Exponential,2,1,4.5,Simulation,0.033982,0.745374
Exponential,2,1,4.5,Statistical,0.033828954520041796,0.7451090538313846
Constant,2,1,4.6,Simulation,0.060839,0.721832
Constant,2,1,4.6,Statistical,0.05889544145958785,0.724001062394828
Exponential,2,1,4.6,Simulation,0.038403,0.745544
Exponential,2,1,4.6,Statistical,0.03793905172660029,0.7456474507594695
Constant,2,1,4.7,Simulation,0.067221,0.720659
Constant,2,1,4.7,Statistical,0.06463519327205355,0.7228376690071442
Exponential,2,1,4.7,Simulation,0.042058,0.745946
Exponential,2,1,4.7,Statistical,0.0423051268064046,0.7457533181638669
Constant,2,1,4.8,Simulation,0.071916,0.719127
Constant,2,1,4.8,Statistical,0.07059751078106136,0.721267549002094
Exponential,2,1,4.8,Simulation,0.046953,0.745399
Exponential,2,1,4.8,Statistical,0.04691900233126699,0.7454430585791526
Constant,2,1,4.9,Simulation,0.078833,0.717769
Constant,2,1,4.9,Statistical,0.07676583389849152,0.7193175365959895
Exponential,2,1,4.9,Simulation,0.051224,0.744904
Exponential,2,1,4.9,Statistical,0.051770991579001994,0.7447342646079261
Constant,2,1,5.0,Simulation,0.085404,0.715099
Constant,2,1,5.0,Statistical,0.08312318027289319,0.7170142193028222
Exponential,2,1,5.0,Simulation,0.057672,0.74302
Exponential,2,1,5.0,Statistical,0.05685011951244971,0.7436454901149114
Constant,2,1,5.1,Simulation,0.091459,0.712694
Constant,2,1,5.1,Statistical,0.08965238023664801,0.7143837457074393
Exponential,2,1,5.1,Simulation,0.061997,0.742575
Exponential,2,1,5.1,Statistical,0.062144346654975265,0.7421960230068536
Constant,2,1,5.2,Simulation,0.099,0.709066
Constant,2,1,5.2,Statistical,0.09633628545276221,0.7114516578703108
Exponential,2,1,5.2,Simulation,0.068344,0.74015
Exponential,2,1,5.2,Statistical,0.06764078961839412,0.7404056651087718
Constant,2,1,5.3,Simulation,0.104878,0.705709
Constant,2,1,5.3,Statistical,0.10315795032063098,0.708242749099961
Exponential,2,1,5.3,Simulation,0.073126,0.738764
Exponential,2,1,5.3,Statistical,0.07332593312146583,0.738294523637521
Constant,2,1,5.4,Simulation,0.112053,0.702409
Constant,2,1,5.4,Statistical,0.11010078623459105,0.7047809468710057
Exponential,2,1,5.4,Simulation,0.079274,0.735331
Exponential,2,1,5.4,Statistical,0.07918582944161473,0.7358828177409487
Constant,2,1,5.5,Simulation,0.119524,0.698669
Constant,2,1,5.5,Statistical,0.11714868960040745,0.7010892199154043
Exponential,2,1,5.5,Simulation,0.085143,0.733368
Exponential,2,1,5.5,Statistical,0.08520628230877886,0.7331907025743174
Constant,2,1,5.6,Simulation,0.126565,0.694864
Constant,2,1,5.6,Statistical,0.1242861451174375,0.6971895079600087
Exponential,2,1,5.6,Simulation,0.090494,0.731153
Exponential,2,1,5.6,Statistical,0.09137301323365407,0.7302381124685619
Constant,2,1,5.7,Simulation,0.133997,0.690358
Constant,2,1,5.7,Statistical,0.1314983062503859,0.693102672204517
Exponential,2,1,5.7,Simulation,0.096397,0.727639
Exponential,2,1,5.7,Statistical,0.09767180913356946,0.7270446239360255
Constant,2,1,5.8,Simulation,0.141188,0.686196
Constant,2,1,5.8,Statistical,0.13877105507088427,0.6888484644057994
Exponential,2,1,5.8,Simulation,0.104665,0.723819
Exponential,2,1,5.8,Statistical,0.10408865086161244,0.723629338574226
Constant,2,1,5.9,Simulation,0.148403,0.682559
Constant,2,1,5.9,Statistical,0.14609104377350865,0.6844455123309185
Exponential,2,1,5.9,Simulation,0.111308,0.719792
Exponential,2,1,5.9,Statistical,0.1106098228531433,0.7200107853718398
Constant,2,1,6.0,Simulation,0.154912,0.678288
Constant,2,1,6.0,Statistical,0.15344572019048275,0.6799113193361896
Exponential,2,1,6.0,Simulation,0.117035,0.715831
Exponential,2,1,6.0,Statistical,0.11722200458167367,0.7162068414901954
Constant,2,1,6.1,Simulation,0.162942,0.672997
Constant,2,1,6.1,Statistical,0.16082333956927414,0.6752622758994278
Exponential,2,1,6.1,Simulation,0.123082,0.712649
Exponential,2,1,6.1,Statistical,0.12391234487240707,0.712234670278973
Constant,2,1,6.2,Simulation,0.170588,0.667358
Constant,2,1,6.2,Statistical,0.16821296475967484,0.6705136810559937
Exponential,2,1,6.2,Simulation,0.130211,0.708211
Exponential,2,1,6.2,Statistical,0.13066852036957197,0.7081106750736593
Constant,2,1,6.3,Simulation,0.177145,0.664949
Constant,2,1,6.3,Statistical,0.17560445680058326,0.6656797718483931
Exponential,2,1,6.3,Simulation,0.136381,0.705042
Exponential,2,1,6.3,Statistical,0.13747877960809374,0.703850467199807
Constant,2,1,6.4,Simulation,0.185146,0.658465
Constant,2,1,6.4,Statistical,0.18298845771699013,0.6607737590792966
Exponential,2,1,6.4,Simulation,0.144932,0.699411
Exponential,2,1,6.4,Statistical,0.14433197421684524,0.6994688465599228
Constant,2,1,6.5,Simulation,0.192667,0.652837
Constant,2,1,6.5,Statistical,0.19035636714688045,0.6558078678472292
Exponential,2,1,6.5,Simulation,0.1514,0.694222
Exponential,2,1,6.5,Statistical,0.15121757879497724,0.6949797931879378
Constant,2,1,6.6,Simulation,0.199102,0.649727
Constant,2,1,6.6,Statistical,0.19770031422527862,0.6507933815339182
Exponential,2,1,6.6,Simulation,0.158011,0.690349
Exponential,2,1,6.6,Statistical,0.15812570096882975,0.6903964682099353
Constant,2,1,6.7,Simulation,0.206218,0.643984
Constant,2,1,6.7,Statistical,0.20501312596536908,0.6457406880958985
Exponential,2,1,6.7,Simulation,0.164073,0.686323
Exponential,2,1,6.7,Statistical,0.16504708306727978,0.6857312227358955
Constant,2,1,6.8,Simulation,0.213318,0.638996
Constant,2,1,6.8,Statistical,0.2122882931993482,0.6406593276859053
Exponential,2,1,6.8,Simulation,0.1723,0.680245
Exponential,2,1,6.8,Statistical,0.1719730967589585,0.6809956133151931
Constant,2,1,6.9,Simulation,0.221682,0.633621
Constant,2,1,6.9,Statistical,0.21951993497749506,0.6355580407890222
Exponential,2,1,6.9,Simulation,0.177968,0.676641
Exponential,2,1,6.9,Statistical,0.17889573188463437,0.6762004227097584
Constant,2,1,7.0,Simulation,0.228117,0.629145
Constant,2,1,7.0,Statistical,0.22670276217467952,0.6304448162028579
Exponential,2,1,7.0,Simulation,0.1861,0.671154
Exponential,2,1,7.0,Statistical,0.18580758059953886,0.6713556848662002
Constant,2,1,7.1,Simulation,0.236052,0.623594
Constant,2,1,7.1,Statistical,0.23383204091989795,0.6253269383196337
Exponential,2,1,7.1,Simulation,0.192348,0.666457
Exponential,2,1,7.1,Statistical,0.19270181781927068,0.666470713096348
Constant,2,1,7.2,Simulation,0.243156,0.618283
Constant,2,1,7.2,Statistical,0.240903556346435,0.6202110332810731
Exponential,2,1,7.2,Simulation,0.199224,0.661409
